,Unnamed: 0,highway,side,between,time,start_loc,end_loc,end_lat,end_lon,start_lat,start_lon,avg_lat,avg_lon,geohash
11,11,Afton Avenue,North,Northcote Avenue and Lisgar Street (east intersection),"Anytime, from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",Northcote Avenue , Lisgar Street (east intersection),43.64711099999999,-79.425783,43.646769000000006,-79.42755149999998,43.64694,-79.42666724999998,dpz829e
12,12,Afton Avenue,South,Northcote Avenue and Lisgar Street (east intersection),"Anytime, from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive",Northcote Avenue , Lisgar Street (east intersection),43.64711099999999,-79.425783,43.646769000000006,-79.42755149999998,43.64694,-79.42666724999998,dpz829e
13,13,Afton Avenue,South,Northcote Avenue and Lisgar Street (east intersection),"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Northcote Avenue , Lisgar Street (east intersection),43.64711099999999,-79.425783,43.646769000000006,-79.42755149999998,43.64694,-79.42666724999998,dpz829e
14,14,Ainsworth Road,Both,The west end of Ainsworth Road and the east end of Ainsworth Road,Anytime,The west end of Ainsworth Road , the east end of Ainsworth Road,43.67951406314521,-79.35065312769373,43.679514063145206,-79.35065312769373,43.679514063145206,-79.35065312769373,dpz86rd
15,15,Aitken Place,West,Longboat Avenue and Scadding Avenue,Anytime,Longboat Avenue , Scadding Avenue,43.649208,-79.364619,43.64821800000002,-79.36415099999998,43.648713000000015,-79.364385,dpz8640
16,16,Albany Avenue,East,Barton Avenue and a point 36.5 metres north,Anytime,Barton Avenue , a point 36.5 metres north,43.648690000000045,-79.38543999999996,43.668342,-79.41113100000001,43.65851600000002,-79.39828549999999,dpz835z
17,17,Albany Avenue,East,Bloor Street West and a point 51.8 metres north,Anytime,Bloor Street West , a point 51.8 metres north,43.648690000000045,-79.38543999999996,43.66537199999999,-79.4100105,43.65703100000002,-79.39772524999998,dpz8378
18,18,Albany Avenue,East,Bridgman Avenue and a point 137.9 metres north of Bridgman Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Bridgman Avenue , a point 137.9 metres north of Bridgman Avenue,43.67452500000002,-79.4138715,43.67452500000002,-79.4138715,43.67452500000002,-79.4138715,dpz82ys
19,19,Albany Avenue,East,Davenport Road and a point 70.4 metres south of Davenport Road,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Davenport Road , a point 70.4 metres south of Davenport Road,43.67672999999999,-79.414704,43.67672100000002,-79.4146995,43.6767255,-79.41470175,dpz82z5
20,20,Albany Avenue,East,Dupont Street and a point 61.6 metres north of Dupont Street,Anytime,Dupont Street , a point 61.6 metres north of Dupont Street,43.673337000000004,-79.4134035,43.673337,-79.4134035,43.673337000000004,-79.4134035,dpz82yk
21,21,Albany Avenue,East,A point 137.9 metres north of Bridgman Avenue and a point 35.6 metres north thereof,Anytime,A point 137.9 metres north of Bridgman Avenue , a point 35.6 metres north thereof,43.648690000000045,-79.38543999999996,43.67452500000002,-79.4138715,43.66160750000003,-79.39965574999998,dpz83hq
22,22,Albany Avenue,West,Bloor Street West and a point 61.9 metres north of Dupont Street,Anytime,Bloor Street West , a point 61.9 metres north of Dupont Street,43.673337000000004,-79.4134035,43.66537199999999,-79.4100105,43.6693545,-79.411707,dpz82vy
23,23,Albermarle Avenue,North,A point 49.1 metres east of Hampton Avenue and a point 25 metres further east,Anytime,A point 49.1 metres east of Hampton Avenue , a point 25 metres further east,43.648690000000045,-79.38543999999996,43.67259000000002,-79.350813,43.66064000000003,-79.36812649999999,dpz83uj
24,24,Albert Franck Place,Both,Henry Lane Terrace and George Street South,Anytime,Henry Lane Terrace , George Street South,43.64777699999999,-79.369434,43.64727300000001,-79.368534,43.647525,-79.368984,dpz83cv
25,25,Alberta Avenue,Both,Davenport Road and the lane first north,Anytime,Davenport Road , the lane first north,43.68000600000001,-79.43369849999999,43.674669,-79.431471,43.67733750000001,-79.43258474999999,dpz82rn
26,26,Alberta Avenue,West,Tyrrel Avenue and Mount Royal Avenue,Anytime,Tyrrel Avenue , Mount Royal Avenue,43.67695499999999,-79.43247,43.67649600000002,-79.4322225,43.6767255,-79.43234625,dpz82rp
27,27,Albertus Avenue,South,Yonge Street and Duplex Avenue,Anytime,Yonge Street , Duplex Avenue,43.714098000000014,-79.4020455,43.71453000000001,-79.400025,43.714314000000016,-79.40103525,dpz89jv
28,28,Alcina Avenue,Both,Bathurst Street and a point 61 metres west,Anytime,Bathurst Street , a point 61 metres west,43.67956218019494,-79.41967831517667,43.680087,-79.4171115,43.67982459009747,-79.41839490758834,dpz82z9
29,29,Alcina Avenue,South,Wychwood Avenue and a point 61 metres west of Bathurst Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Wychwood Avenue , a point 61 metres west of Bathurst Street,43.680087,-79.4171115,43.679034,-79.42223249999998,43.6795605,-79.41967199999999,dpz82z8
30,30,Alcorn Avenue,North,A point 103 metres west of Yonge Street and a point 15 metres east of Oaklands Avenue,Anytime,A point 103 metres west of Yonge Street , a point 15 metres east of Oakl,43.648690000000045,-79.38543999999996,43.68215699999999,-79.3916505,43.66542350000002,-79.38854524999998,dpz83mp
31,31,Alcorn Avenue,South,Walker Avenue and Oaklands Avenue,Anytime,Walker Avenue , Oakl,43.68149490312492,-79.39470611548948,43.681158,-79.39629450000002,43.68132645156246,-79.39550030774475,dpz83rc
32,32,Aldburn Road,North,Glenarden Road and Fairleigh Crescent,Anytime,Glenarden Road , Fairleigh Crescent,43.70211000000002,-79.43690699999999,43.70262300000001,-79.434072,43.70236650000001,-79.43548949999999,dpz887u
33,33,Aldbury Gardens,South,St. Hilda's Avenue and a point 30.5 metres east,Anytime,St. Hilda's Avenue , a point 30.5 metres east,43.648690000000045,-79.38543999999996,43.71819300000002,-79.39905300000001,43.68344150000003,-79.39224649999998,dpz892k
34,34,Aldridge Avenue,East,Murdock Avenue and Danforth Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Murdock Avenue , Danforth Avenue,43.68473099999999,-79.3171845,43.68294900000001,-79.31643299999999,43.683840000000004,-79.31680874999999,dpz8e07
35,35,Alentejo Street,East,Turnberry Avenue and Sagres Crescent,Anytime,Turnberry Avenue , Sagres Crescent,43.67614499999999,-79.46572049999999,43.67797200000001,-79.466463,43.6770585,-79.46609175,dpz2rxn
36,36,Alexander Place,West,Alexander Street and Maitland Street,Anytime,Alex,er Street ,43.66404315496131,-79.37956761392154,43.66404315496131,-79.37956761392155,43.66404315496131,-79.37956761392155,dpz83sv
37,37,Ashburnham Road,North,McFarland Avenue and Greenlaw Avenue,"Anytime, except the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive",McFarl, Avenue ,43.67329303904766,-79.4441737084605,43.67370600000001,-79.44246449999999,43.67349951952383,-79.44331910423024,dpz82nx
38,38,Ashburnham Road,South,McFarland Avenue and Greenlaw Avenue,"Anytime, on the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive",McFarl, Avenue ,43.67329303904766,-79.4441737084605,43.67370600000001,-79.44246449999999,43.67349951952383,-79.44331910423024,dpz82nx
39,39,Ashby Place,East,King Street East and a point 17 metres north,Anytime,King Street East , a point 17 metres north,43.648690000000045,-79.38543999999996,43.65598500000002,-79.357644,43.65233750000003,-79.37154199999998,dpz83fe
40,40,Ashby Place,West,King Street East and the north end of Ashby Place,Anytime,King Street East , the north end of Ashby Place,43.65628242310443,-79.35798078792705,43.65598500000002,-79.357644,43.65613371155223,-79.35781239396351,dpz865m
41,41,Ashdale Avenue,East,Gerrard Street East and Fairford Avenue,Anytime,Gerrard Street East , Fairford Avenue,43.674524999999996,-79.32274199999999,43.672293,-79.321842,43.673409,-79.322292,dpz86yx
42,42,Ashdale Avenue,East,Queen Street East and Dundas Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Queen Street East , Dundas Street East,43.668306,-79.32019499999998,43.66575900000001,-79.31907,43.667032500000005,-79.31963249999998,dpz87j3
43,43,Ashdale Avenue,West,Dundas Street East and Gerrard Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Dundas Street East , Gerrard Street East,43.672292999999996,-79.321842,43.668306,-79.32019499999998,43.6702995,-79.3210185,dpz87jb
44,44,Ashdale Avenue,West,Fairford Avenue and a point 299.7 metres north of Fairford Avenue,Anytime,Fairford Avenue , a point 299.7 metres north of Fairford Avenue,43.674524999999996,-79.32274199999999,43.674525,-79.32274199999998,43.674525,-79.32274199999998,dpz86yw
45,45,Ashland Avenue,North,Coxwell Avenue and the east end of Ashland Avenue,Anytime,Coxwell Avenue , the east end of Ashl,43.66351567837526,-79.55425832391215,43.66792799999999,-79.31722049999998,43.665721839187626,-79.43573941195606,dpz82mh
46,46,Ashland Avenue,South,A point 60 metres east of Coxwell Avenue and a point 7 metres further east,Anytime,A point 60 metres east of Coxwell Avenue , a point 7 metres further east,43.648690000000045,-79.38543999999996,43.66792799999999,-79.31722049999998,43.65830900000002,-79.35133024999996,dpz867f
47,47,Asquith Avenue,North,Church Street and a point 36.2 metres further west,Sun.,Church Street , a point 36.2 metres further west,43.648690000000045,-79.38543999999996,43.672023,-79.3836135,43.66035650000002,-79.38452674999998,dpz83s1
48,48,Asquith Avenue,South,A point 34 metres east of Church Street and St. Paul's Square,8:00 a.m. to 6:00 p.m.,A point 34 metres east of Church Street , St. Paul's Square,43.672149000000005,-79.38282149999999,43.672023,-79.3836135,43.67208600000001,-79.3832175,dpz83w6
49,49,Asquith Avenue,South,A point 9 metres east of Church Street and a point 25 metres further east,"9:00 a.m. to 11:30 a.m., 1:00 p.m. to 4:00 p.m., Mon. to Fri.;  8:00 a.m. to 6:00 p.m., Sat., Sun. and public holidays",A point 9 metres east of Church Street , a point 25 metres further east,43.648690000000045,-79.38543999999996,43.672023,-79.3836135,43.66035650000002,-79.38452674999998,dpz83s1
50,50,Astley Avenue,East,Douglas Drive and the northwest end of Astley Avenue,Anytime,Douglas Drive , the northwest end of Astley Avenue,43.68906550596657,-79.36971678752107,43.68766500000001,-79.36913249999998,43.68836525298329,-79.36942464376052,dpz89ch
51,51,Atkins Avenue,North,Brock Avenue and Sheridan Avenue,Anytime,Brock Avenue , Sheridan Avenue,43.650792,-79.43405399999999,43.650486,-79.43583149999998,43.650639,-79.43494274999998,dpz826m
52,52,Auburn Avenue,North,Dufferin Street and Via Italia,"Anytime, except the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive",Dufferin Street , Via Italia,43.67495700000002,-79.4446335,43.67550600000001,-79.44205500000001,43.67523150000002,-79.44334425,dpz82nz
53,53,Auburn Avenue,North,Via Italia and Greenlaw Avenue,"Anytime, on the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive",Via Italia , Greenlaw Avenue,43.674398999999994,-79.447122,43.67495700000002,-79.4446335,43.67467800000001,-79.44587775,dpz82nt
54,54,Auburn Avenue,North,Via Italia and Dufferin Street,Anytime,Via Italia , Dufferin Street,43.67550600000001,-79.442055,43.67495700000002,-79.4446335,43.67523150000002,-79.44334425,dpz82nz
55,55,Auburn Avenue,South,Dufferin Street and Via Italia,"Anytime, on the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive",Dufferin Street , Via Italia,43.67495700000002,-79.4446335,43.67550600000001,-79.44205500000001,43.67523150000002,-79.44334425,dpz82nz
56,56,Auburn Avenue,South,Via Italia and Greenlaw Avenue,"Anytime, except the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive",Via Italia , Greenlaw Avenue,43.674398999999994,-79.447122,43.67495700000002,-79.4446335,43.67467800000001,-79.44587775,dpz82nt
57,57,Auburn Avenue,South,Greenlaw Avenue and Via Italia,Anytime,Greenlaw Avenue , Via Italia,43.67495700000002,-79.4446335,43.674399,-79.447122,43.674678000000014,-79.44587775,dpz82nt
58,58,Audley Avenue,North,Pape Avenue and the east end of Audley Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Pape Avenue , the east end of Audley Avenue,43.665090121970934,-79.33843927091178,43.66495800000001,-79.3390725,43.66502406098547,-79.3387558854559,dpz86sg
59,59,Augusta Avenue,East,A point 134 metres north of Wolseley Street and a point 18 metres further north,"10:00 a.m. to 3:00 p.m., 6:00 p.m. of one day to 7:00 a.m. of the next following day, Mon. to Fri.; Anytime, Sat. and Sun.",A point 134 metres north of Wolseley Street , a point 18 metres further north,43.648690000000045,-79.38543999999996,43.64886599999999,-79.4000025,43.64877800000002,-79.39272124999998,dpz8365
60,60,Augusta Avenue,East,Queen Street West and Richmond Street West,Anytime,Queen Street West , Richmond Street West,43.64735400000001,-79.399413,43.64802900000001,-79.3996605,43.64769150000001,-79.39953675,dpz831z
61,61,Augusta Avenue,West,Queen Street West and a point 30.5 metres north of Grange Avenue,Anytime,Queen Street West , a point 30.5 metres north of Grange Avenue,43.65117000000001,-79.40093399999999,43.64802900000001,-79.3996605,43.64959950000001,-79.40029725,dpz834n
62,62,Augusta Avenue,West,Queen Street West and the lane first north of Richmond Street West,7:00 a.m. to 5:00 p.m.,Queen Street West , the lane first north of Richmond Street West,43.647354,-79.39941749999998,43.64802900000001,-79.3996605,43.64769150000001,-79.39953899999999,dpz831z
63,63,Austin Avenue,South,Pape Avenue and Marjory Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",Pape Avenue , Marjory Avenue,43.66748700000001,-79.33701149999999,43.66694699999999,-79.33989150000001,43.667217,-79.33845149999999,dpz86t7
64,64,Austin Crescent,North,Austin Terrace (north intersection) and the east end of Austin Crescent,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",Austin Terrace (north intersection) , the east end of Austin Crescent,43.678521,-79.415244,43.678521,-79.415244,43.678521,-79.415244,dpz82z7
65,65,Austin Crescent,South and west,Austin Terrace (north intersection) and the east end of Austin Crecent,"6:00 a.m. to 10:00 a.m., Mon. to Fri.",Austin Terrace (north intersection) , the east end of Austin Crecent,43.678521,-79.415244,43.678521,-79.415244,43.678521,-79.415244,dpz82z7
66,66,Austin Terrace,North,Hilton Avenue and a point 37 metres west,Anytime,Hilton Avenue , a point 37 metres west,43.648690000000045,-79.38543999999996,43.67853,-79.415244,43.66361000000002,-79.40034199999998,dpz83hw
67,67,Austin Terrace,North,Walmer Road (west intersection) and Spadina Road,Anytime,Walmer Road (west intersection) , Spadina Road,43.678818954545434,-79.40874149999999,43.67824200000001,-79.4108925,43.67853047727272,-79.409817,dpz82zr
68,68,Austin Terrace,South,Walmer Road and Lyndhurst Court,Anytime,Walmer Road , Lyndhurst Court,43.67840400000001,-79.41213450000001,43.67824200000001,-79.4108925,43.678323000000006,-79.41151350000001,dpz82zq
69,69,Ava Road,North,Bathurst Street and a point 30.5 metres east,Anytime,Bathurst Street , a point 30.5 metres east,43.648690000000045,-79.38543999999996,43.697934,-79.424334,43.673312000000024,-79.40488699999997,dpz83n7
70,70,Alexander Street,North,Church Street and Mutual Street,8:00 a.m. to 6:00 p.m.,Church Street , Mutual Street,43.66395900000001,-79.378704,43.66367100000002,-79.38012599999998,43.663815000000014,-79.379415,dpz83sv
71,71,Alexander Street,South,A point 79.5 metres east of Church Street and Mutual Street,Anytime,A point 79.5 metres east of Church Street , Mutual Street,43.66395900000001,-79.378704,43.66367100000002,-79.38012599999998,43.663815000000014,-79.379415,dpz83sv
72,72,Alexander Street,South,Church Street and a point 30.5 metres east,Anytime,Church Street , a point 30.5 metres east,43.648690000000045,-79.38543999999996,43.66367100000002,-79.38012599999998,43.65618050000003,-79.38278299999996,dpz83e7
73,73,Alexandra Boulevard,East and south,A point 36.6 metres north of Lytton Boulevard and a point 54.9 metres further east and north,Anytime,A point 36.6 metres north of Lytton Boulevard , a point 54.9 metres further east ,43.648690000000045,-79.38543999999996,43.71473700000002,-79.40979,43.68171350000003,-79.39761499999997,dpz8920
74,74,Alexandra Boulevard,North,Rosewell Avenue and Lytton Boulevard,Anytime,Rosewell Avenue , Lytton Boulevard,43.714737000000014,-79.40979,43.71563700000002,-79.40863350000002,43.715187000000014,-79.40921175000001,dpz88yp
75,75,Alexandra Boulevard,North,Yonge Street and Duplex Avenue,Anytime,Yonge Street , Duplex Avenue,43.71676200000002,-79.403112,43.717266000000016,-79.40059199999997,43.71701400000002,-79.40185199999999,dpz89nm
76,76,Alfresco Lawn,North,Lee Avenue and a point approximately 54.9 metres east of Leuty Avenue,"Anytime, except Sun. and public holidays",Lee Avenue , a point approximately 54.9 metres east of Leuty Avenue,43.66755900000001,-79.2952335,43.667262,-79.29660150000001,43.6674105,-79.2959175,dpz87t6
77,77,Alfresco Lawn,North,Wineva Avenue and a point approximately 30.5 metres west,Anytime,Wineva Avenue , a point approximately 30.5 metres west,43.648690000000045,-79.38543999999996,43.667847,-79.29414,43.65826850000002,-79.33978999999998,dpz86ed
78,78,Algarve Crescent,South and east,Turnberry Avenue and Old Weston Road,Anytime,Turnberry Avenue , Old Weston Road,43.679852999999994,-79.4657115,43.678125000000016,-79.465797,43.678989,-79.46575425,dpz2rxw
79,79,Algonquin Avenue,North,Indian Road and Parkside Drive,Anytime,Indian Road , Parkside Drive,43.64309700000001,-79.45551,43.64360100000001,-79.45325100000002,43.643349000000015,-79.45438050000001,dpz2rcp
80,80,Alhambra Avenue,East,Boustead Avenue and Bloor Street West,Anytime,Boustead Avenue , Bloor Street West,43.65603899999999,-79.45375499999999,43.653312,-79.452792,43.654675499999996,-79.4532735,dpz2rgp
81,81,Alhambra Avenue,West,Bloor Street West and a point 45.7 metres south,Anytime,Bloor Street West , a point 45.7 metres south,43.648690000000045,-79.38543999999996,43.65603899999999,-79.45375499999999,43.65236450000002,-79.41959749999998,dpz82f8
82,82,Allen Avenue,South,Broadview Avenue and Boulton Avenue,Anytime,Broadview Avenue , Boulton Avenue,43.66375200000002,-79.34846399999999,43.66303200000002,-79.351614,43.663392000000016,-79.350039,dpz86ke
83,83,Alma Avenue,North,Dufferin Street and Gladstone Avenue,"Anytime, except each Thu., Apr. 1 to Nov. 30, inclusive",Dufferin Street , Gladstone Avenue,43.64489700000001,-79.42804199999999,43.64462700000002,-79.4295225,43.644762000000014,-79.42878225,dpz8293
84,84,Alma Avenue,South,Dufferin Street and Gladstone Avenue,"Each Thu., Apr. 1 to Nov. 30, inclusive",Dufferin Street , Gladstone Avenue,43.64489700000001,-79.42804199999999,43.64462700000002,-79.4295225,43.644762000000014,-79.42878225,dpz8293
85,85,Alton Avenue,East,Dundas Street East and Gerrard Street East,Anytime,Dundas Street East , Gerrard Street East,43.670294999999996,-79.3306665,43.667262,-79.32938399999999,43.6687785,-79.33002525,dpz86v9
86,86,Alton Avenue,West,A point 29 metres north of Sawden Avenue and a point 5.5 metres further north,Anytime,A point 29 metres north of Sawden Avenue , a point 5.5 metres further north,43.648690000000045,-79.38543999999996,43.668207,-79.32980699999997,43.65844850000002,-79.35762349999996,dpz865v
87,87,Alvin Avenue,East,A point 30.5 metres north of Heath Street East and Glen Elm Avenue,Anytime,A point 30.5 metres north of Heath Street East , Glen Elm Avenue,43.691589,-79.3934775,43.69028399999999,-79.3934235,43.69093649999999,-79.3934505,dpz893e
88,88,Alvin Avenue,West,Heath Street East and Glen Elm Avenue,Anytime,Heath Street East , Glen Elm Avenue,43.691589,-79.3934775,43.69028399999999,-79.3934235,43.69093649999999,-79.3934505,dpz893e
89,89,Amelia Street,South,Parliament Street and a point 45.7 metres east of Sumach Street,Anytime,Parliament Street , a point 45.7 metres east of Sumach Street,43.66844999999999,-79.3636515,43.66724400000001,-79.369173,43.667847,-79.36641225,dpz83vr
90,90,Ancroft Place,Both,Sherbourne Street North and the south end of Ancroft Place,Anytime,Sherbourne Street North , the south end of Ancroft Place,43.67395528894283,-79.37675524984833,43.67387700000002,-79.37741700000001,43.67391614447142,-79.37708612492418,dpz83wx
91,91,Anderson Avenue,North,Colin Avenue and Maxwell Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",Colin Avenue , Maxwell Avenue,43.70409000000001,-79.40102399999999,43.70391000000001,-79.401933,43.70400000000001,-79.4014785,dpz89hj
92,92,Anderson Avenue,North,Duplex Avenue and Maxwell Avenue,Anytime,Duplex Avenue , Maxwell Avenue,43.70409000000001,-79.40102399999999,43.70420700000001,-79.40047499999999,43.70414850000001,-79.40074949999999,dpz89hn
93,93,Anderson Avenue,North,Oriole Parkway and Lascelles Boulevard,"8:00 a.m. to 10:00 a.m., Mon. to Fri.",Oriole Parkway , Lascelles Boulevard,43.70372099999999,-79.40294549999999,43.70319900000001,-79.40549250000001,43.70346,-79.404219,dpz895g
94,94,Anderson Avenue,South,Duplex Avenue and Colin Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",Duplex Avenue , Colin Avenue,43.70391000000001,-79.401933,43.70420700000001,-79.40047499999999,43.70405850000001,-79.40120399999999,dpz89hj
95,95,Anderson Avenue,South,Eastbourne Avenue and Duplex Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",Eastbourne Avenue , Duplex Avenue,43.70420700000001,-79.40047499999999,43.70347799999999,-79.40414249999998,43.7038425,-79.40230874999997,dpz89hj
96,96,Anderson Avenue,South,Lascelles Boulevard and Colin Avenue,Anytime,Lascelles Boulevard , Colin Avenue,43.70391000000001,-79.401933,43.70372099999999,-79.40294549999999,43.7038155,-79.40243924999999,dpz89hh
97,97,Andrews Avenue,South,Markham Street and the west end of Andrews Avenue,Anytime,Markham Street , the west end of Andrews Avenue,43.65130049999999,-79.40732625,43.65136800000001,-79.406982,43.651334250000005,-79.407154125,dpz8343
98,98,Annette Street,Both,Dundas Street West and Indian Road,Anytime,Dundas Street West , Indian Road,43.664103000000004,-79.4594925,43.664454000000006,-79.45881299999998,43.66427850000001,-79.45915274999999,dpz2rug
99,99,Antler Street,South,A point 15.2 metres west of lane first west of Campbell Avenue (north from Antler Street) and a point 15.2 metres east of lane first west of Campbell Avenue,Anytime,A point 15.2 metres west of lane first west of Campbell Avenue (north from Antler Street) , a point 15.2 metres east of lane first west of Campbell Avenue,43.66511100000001,-79.4496915,43.648690000000045,-79.38543999999995,43.65690050000003,-79.41756574999997,dpz82g3
100,100,Antler Street,South,Franklin Avenue and the east end of Antler Street,8:30 a.m. to 6:00 p.m.,Franklin Avenue , the east end of Antler Street,43.66425098942459,-79.44883126565205,43.663302000000016,-79.453413,43.6637764947123,-79.45112213282601,dpz82h9
101,101,Appleton Avenue,East,St. Clair Avenue West and a point 55 metres north,"Anytime, from 7:00 p.m. on the 1st day of Dec. of one year to 7:00 p.m. on the 1st day of Apr. the next following year, inclusive",St. Clair Avenue West , a point 55 metres north,43.648690000000045,-79.38543999999996,43.67920499999999,-79.437564,43.66394750000002,-79.41150199999998,dpz82uy
102,102,Archer Road,South,Spadina Road and Dunloe Road,Anytime,Spadina Road , Dunloe Road,43.696494,-79.4139435,43.69608,-79.415784,43.696287,-79.41486375,dpz88fe
103,103,Archer Street,North,The north/south leg of Archer Street and the east end of Archer Street,"Each Thu., Apr. 1 to Nov. 30",The north/south leg of Archer Street , the east end of Archer Street,43.65572790409056,-79.4372252792928,43.65572790409057,-79.43722527929279,43.65572790409057,-79.43722527929279,dpz8277
104,104,Archer Street,South,The north/south leg of Archer Street and the east end of Archer Street,"Anytime, except each Thu., Apr. 1 to Nov. 30",The north/south leg of Archer Street , the east end of Archer Street,43.65572790409056,-79.4372252792928,43.65572790409057,-79.43722527929279,43.65572790409057,-79.43722527929279,dpz8277
105,105,Ardagh Street,South,Jane Street and Runnymede Road,Anytime,Jane Street , Runnymede Road,43.657488000000015,-79.4788515,43.65573299999999,-79.487091,43.6566105,-79.48297125,dpz2r76
106,106,Ardmore Road,North,Bathurst Street and Richview Avenue,7:00 a.m. to 9:00 a.m.,Bathurst Street , Richview Avenue,43.693929,-79.421391,43.69367700000001,-79.42257,43.693803,-79.42198049999999,dpz88dn
107,107,Ardmore Road,South,Spadina Road and Bathurst Street,Anytime,Spadina Road , Bathurst Street,43.69367700000001,-79.42257,43.69518,-79.41541050000002,43.6944285,-79.41899025000001,dpz88f2
108,108,Ardwold Gate,North,Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.,Spadina Road , the south end of Ardwold Gate,43.68015038241191,-79.40748627828701,43.68054600000001,-79.409412,43.68034819120596,-79.4084491391435,dpz83pb
109,109,Ardwold Gate,South,A point 131.1 metres east of Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.,A point 131.1 metres east of Spadina Road , the south end of Ardwold Gate,43.68015038241191,-79.40748627828701,43.68054600000001,-79.409412,43.68034819120596,-79.4084491391435,dpz83pb
110,110,Ardwold Gate,South,Spadina Road and a point 131.1 metres east,Anytime,Spadina Road , a point 131.1 metres east,43.648690000000045,-79.38543999999996,43.68054600000001,-79.409412,43.664618000000026,-79.39742599999998,dpz83kb
111,111,Argyle Place,Both,Argyle Street and Bruce Street,Anytime,Argyle Street , Bruce Street,43.64574300000002,-79.4186955,43.64703000000001,-79.41917699999998,43.64638650000001,-79.41893624999999,dpz82c8
