,address,capacity,carpark_type,id,is_ttc,lat,lng,max_height,payment_methods,payment_options,rate_details,rate_half_hour,geohash
10,101 Cedarvale Avenue,37.0,surface,20,False,43.686541,-79.310957,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $50', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz8e0z
11,72 Amroth Avenue,54.0,surface,21,False,43.685377,-79.311708,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $50', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz8e0w
12,37 Queen Street East,645.0,garage,26,False,43.652705,-79.377218,2.00,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday - Friday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$20.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Saturday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $360', 'Permits currently unavailable \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}]}",2.50,dpz83dx
13,716 Pape Avenue,85.0,surface,17,False,43.679713,-79.345375,,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.50'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$5.00'}]}]}",1.00,dpz86rw
14,75 Holly Street,460.0,garage,29,False,43.706469,-79.396348,1.93,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $200', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$12.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$5.00'}]}]}",1.75,dpz89k9
15,45 Bay Street,330.0,surface,32,False,43.643785,-79.378002,0.00,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Cashier'],"{'addenda': [], 'periods': [{'title': 'Monday - Friday', 'notes': [], 'rates': [{'when': 'Day Maximum (5:30am - 6pm)', 'rate': '$18.00'}, {'when': 'Night Maximum (6pm - 5:30am)', 'rate': '$6.00'}]}, {'title': 'Saturday/Sunday/Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (5:30am - 5:30am)', 'rate': '$8.00'}, {'when': 'Night Maximum (6pm - 5:30am)', 'rate': '$5.00'}]}, {'title': 'Air Canada Centre Event', 'notes': ['Unreserved Monthly permit price - $260', 'Permits currently not available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Flat Rate', 'rate': '$25.00'}]}]}",2.50,dpz839n
16,25 Dundas Street East,265.0,garage,34,False,43.656004,-79.379933,2.10,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$19.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$8.00'}]}, {'title': 'Sunday', 'notes': ['Unreserved Monthly permit price - $360\r\nPermits currently not available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Maximum (Sunday 7am - Monday 7am)', 'rate': '$12.00'}]}]}",2.50,dpz83em
17,110 Queen Street West (Nathan Phillips Square Garage),2087.0,garage,36,False,43.651696,-79.383699,1.93,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday - Friday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$15.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $270', 'Permits currently available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Maximum (7am - 7am)', 'rate': '$6.00'}]}]}",2.50,dpz83dd
18,20 Castlefield Avenue,163.0,surface,39,False,43.711828,-79.400082,0.00,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Pay at Exit Lane Stations', 'Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$10.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $165\r\nPermits currently not available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Maximum (7am - 7am)', 'rate': '$4.00'}]}]}",1.75,dpz89jq
19,7 Norton Avenue,64.0,surface,41,False,43.678365,-79.443882,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$8.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.00,dpz82pq
20,91 Via Italia,169.0,garage,42,False,43.676817,-79.445239,1.93,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit']","{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $75', 'Permits currently not available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$5.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz82pj
21,2 Church Street (St. Lawrence Garage),2008.0,garage,43,False,43.64644,-79.373066,1.98,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': ['(ENTRY BETWEEN 5am - 6pm ONLY)'], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$10.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$5.00'}]}, {'title': 'SATURDAY SPECIAL', 'notes': ['$1.00 EACH HOUR FOR THE FIRST 2 HOURS - REGULAR RATES THEREAFTER', 'Unreserved Monthly permit price - $180', 'Permits currently unavailable \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': []}]}",2.50,dpz83cd
22,14 Fuller Avenue,53.0,surface,44,False,43.640788,-79.439542,2.13,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $40\r\nPermits currently available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$3.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$2.00'}]}]}",0.75,dpz8229
23,111 Broadview Avenue,92.0,surface,45,False,43.659179,-79.349774,2.60,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $70\r\nPermits currently available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.00,dpz867g
24,125 Burnaby Blvd.,174.0,surface,47,False,43.704445,-79.412076,2.67,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$8.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.25,dpz88uj
25,85 Lee Avenue,68.0,surface,48,False,43.670037,-79.297621,2.67,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.50'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.00,dpz87tc
26,365 Lippincott Street,144.0,surface,51,False,43.665054,-79.409662,2.67,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': ['Unreserved Monthly permit price - $110\r\nPermits currently available \r\nInquires at monthlypermits@greenp.com or\r\n416-393-7348'], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$7.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$7.00'}]}]}",1.25,dpz82uz
27,40 York Street,323.0,garage,52,False,43.645571,-79.382937,1.95,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Pay at Exit Lane Stations', 'Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday - Friday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 7pm)', 'rate': '$18.00'}, {'when': 'Night Maximum (5pm - 7am)', 'rate': '$6.00'}]}, {'title': 'Saturday - Sunday', 'notes': ['Unreserved Monthly permit price - $350', 'Permits currently not available', 'Inquires at monthlypermits@greenp.com or', '416-393-7348'], 'rates': [{'when': 'Maximum per 12 hour period (Sat 7am - Mon 7am)', 'rate': '$7.00'}]}]}",3.00,dpz8397
28,803 Richmond Street West,49.0,surface,53,False,43.644546,-79.410778,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$9.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}]}",1.75,dpz82cn
29,23 Bedford Park Avenue West,42.0,surface,55,False,43.72677,-79.40433,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Night Maximum (6pm - 9am)', 'rate': '$3.00'}]}]}",1.00,dpz8c05
30,9 Bedford Road (Hotel Intercontinental),399.0,garage,58,False,43.668655,-79.397475,1.95,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Pay at Exit Lane Stations', 'Credit Card at Entry & Exit', 'Cashier']","{'addenda': [], 'periods': [{'title': 'Monday - Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$12.00'}, {'when': 'Night Maximum (6pm - 7 am)', 'rate': '$6.00'}]}, {'title': 'Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Maximum per 12 hour period (Sun 7am - Mon 7am)', 'rate': '$6.00'}]}]}",2.00,dpz83m8
31,1119 Queen Street West,29.0,surface,62,False,43.642954,-79.424211,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Maximum (Any 12 hr Period)', 'rate': '$10.50'}]}]}",1.50,dpz828v
32,265 Durie Street,155.0,surface,64,False,43.650881,-79.479014,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (9am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 9am)', 'rate': '$3.00'}]}]}",1.00,dpz2r6m
33,20 St. Andrew Street (Kensington Garage),450.0,garage,68,False,43.654303,-79.400079,1.90,"['Bills', 'Coins', 'Charge (Visa / Mastercard / American Express Only)']","['Auto Express Pay Stations', 'Credit Card at Entry & Exit', 'Customer Assistance Booth']","{'addenda': [], 'periods': [{'title': 'Sunday - Friday & Holidays', 'notes': [], 'rates': [{'when': 'Day Mximum (7am - 6pm)', 'rate': '$5.50'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}, {'title': 'Saturday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.25,dpz835n
34,35 Bellevue Avenue,91.0,surface,71,False,43.654184,-79.403176,2.67,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': ['ATTENDED ON SATURDAY - CASH ONLY'], 'periods': [{'title': 'Monday - Friday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$12.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}, {'title': 'Saturday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': 'NO MAXIMUM'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.50,dpz835h
35,35 Erindale Avenue,93.0,surface,78,False,43.677316,-79.357467,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$9.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.50,dpz86pj
36,405 Sherbourne Street,110.0,surface,79,False,43.66452,-79.373502,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}, {'title': 'Monday - Thursday', 'notes': [], 'rates': [{'when': 'Night Maximum (8pm - 7am)', 'rate': '$8.00'}]}, {'title': 'Friday - Sunday', 'notes': [], 'rates': [{'when': 'Flat Rate (8pm - 7am)', 'rate': '$8.00'}]}]}",1.00,dpz83uc
37,400 Keele Street,54.0,surface,80,False,43.66611,-79.465045,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz2rtp
38,695 Lansdowne Avenue,40.0,surface,81,False,43.658969,-79.442739,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz825z
39,92 Margueretta Avenue,56.0,surface,82,False,43.659412,-79.440143,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz827c
40,9 Salem Avenue,35.0,surface,84,False,43.661011,-79.431667,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz82kp
41,557 Palmerston Avenue,58.0,surface,85,False,43.665039,-79.413579,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$7.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$4.00'}]}]}",1.25,dpz82uu
42,14 Arundel Avenue,83.0,surface,87,False,43.678456,-79.351223,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$7.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}]}",1.25,dpz86r6
43,25 Ferrier Avenue,47.0,surface,88,False,43.679007,-79.348379,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$7.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$6.00'}]}]}",1.00,dpz86rs
44,20 Eaton Avenue,70.0,surface,89,False,43.679954,-79.343948,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.50'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",0.75,dpz86rx
45,17 Eaton Avenue,30.0,surface,90,False,43.680078,-79.343197,,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.50'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",0.75,dpz86x8
46,265 Armadale Avenue,148.0,surface,91,False,43.650283,-79.483039,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (9am - 6pm)', 'rate': '$6.00'}, {'when': 'Night Maximum (6pm - 9am)', 'rate': '$3.00'}]}]}",1.00,dpz2r66
47,675 Manning Avenue,52.0,surface,93,False,43.664651,-79.416014,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$6.50'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.25,dpz82ug
48,"745 Ossington Avenue, 16 Carling Avenue",45.0,surface,104,False,43.662431,-79.425648,0.00,"['Coins', 'Charge (Visa / Mastercard / American Express Only)']",['Pay and Display'],"{'addenda': [], 'periods': [{'title': 'Monday - Sunday & Holidays', 'notes': [], 'rates': [{'when': 'Day Maximum (7am - 6pm)', 'rate': '$4.00'}, {'when': 'Night Maximum (6pm - 7am)', 'rate': '$3.00'}]}]}",1.00,dpz82ss
